seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fit_warnings,fallback_reason,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256,evidence_audit_budget,origin_metrics,origin_release
0,audit,exposed,RAC1P,logistic,logistic,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.007610333035700023,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,exposed
0,audit,exposed,RAC1P,mlp_0,mlp,True,True,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,120,1440,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4226449580164626,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,exposed
0,audit,exposed,RAC1P,mlp_1,mlp,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,120,1440,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3996945839608088,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,exposed
0,audit,exposed,RAC1P,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.23740112502127886,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,exposed
0,audit,exposed,RAC1P,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.21379537496250123,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,exposed
0,transfer,prior,same_residence,prior,prior,True,True,True,False,,True,False,2048,"[500,1548]",True,0,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,prior
0,transfer,prior,commute_over20,prior,prior,True,True,True,False,,True,False,2048,"[997,1051]",True,0,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,prior
0,transfer,prior,income_binary,prior,prior,True,True,True,False,,True,False,2048,"[1652,396]",True,0,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,prior
0,transfer,prior,civilian_at_work,prior,prior,True,True,True,False,,True,False,2048,"[665,1383]",True,0,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,prior
0,transfer,prior,public_coverage,prior,prior,True,True,True,False,,True,False,2048,"[1531,517]",True,0,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,prior
0,audit,prior,SEX,prior,prior,True,True,True,True,120,True,False,2993,"[1512,1481]",True,0,,,2993,,,,,,,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,prior
0,audit,prior,RAC1P,prior,prior,True,True,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,2993,,,,,,,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,prior
0,transfer,I,same_residence,logistic,logistic,True,True,True,True,,True,False,2048,"[500,1548]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.004703583079390228,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,same_residence,mlp,mlp,False,False,True,False,,True,False,2048,"[500,1548]",True,320,10,80,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08127166703343391,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,commute_over20,logistic,logistic,False,False,True,False,,True,False,2048,"[997,1051]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0024852079804986715,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,,True,False,2048,"[997,1051]",True,320,15,120,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.07789237494580448,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,,True,False,2048,"[1652,396]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0026366669917479157,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,,True,False,2048,"[1652,396]",True,320,20,160,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08128929103258997,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,,True,False,2048,"[665,1383]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0026952079497277737,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,,True,False,2048,"[665,1383]",True,320,20,160,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08143395895604044,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,,True,False,2048,"[1531,517]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0024247500114142895,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,320,25,200,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.09335629199631512,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,I
0,transfer,C_init,same_residence,logistic,logistic,False,False,True,False,,True,False,2048,"[500,1548]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027142500039190054,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,320,40,320,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08374125009868294,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,commute_over20,logistic,logistic,True,True,True,False,,True,False,2048,"[997,1051]",True,8,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0022484170040115714,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,,True,False,2048,"[997,1051]",True,320,5,40,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08063420804683119,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,income_binary,logistic,logistic,True,True,True,True,,True,False,2048,"[1652,396]",True,17,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0028925419319421053,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,,True,False,2048,"[1652,396]",True,320,35,280,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08197066700085998,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,civilian_at_work,logistic,logistic,False,False,True,True,,True,False,2048,"[665,1383]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027957080164924264,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,,True,False,2048,"[665,1383]",True,320,25,200,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.10086837492417544,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,public_coverage,logistic,logistic,False,False,True,True,,True,False,2048,"[1531,517]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027111670933663845,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,,True,False,2048,"[1531,517]",True,320,15,120,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08035245805513114,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_init
0,audit,C_init,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,10,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0026894999900832772,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,120,True,False,2993,"[1512,1481]",True,1440,20,240,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3731226669624448,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,120,True,False,2993,"[1512,1481]",True,1440,20,240,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3746970420470461,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,SEX,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.08251533296424896,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,SEX,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.0837349999928847,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,SEX,catchup,catchup,False,False,True,True,120,True,False,2993,"[1512,1481]",True,1440,15,180,359160,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,1300000,2000000,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",0.3463334159459919,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,SEX,saved_adversary,saved_adversary,False,False,True,False,120,True,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,logistic,logistic,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,87,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.024702167022041976,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,mlp_0,mlp,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,25,300,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.43400954199023545,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,mlp_1,mlp,False,True,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,35,420,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.47290983400307596,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6269605000270531,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6692921249195933,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,catchup,catchup,True,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,5,60,359160,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,1300001,2000001,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",0.4796597909880802,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,audit,C_init,RAC1P,saved_adversary,saved_adversary,False,False,True,False,120,True,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,C_init
0,transfer,D_init,same_residence,logistic,logistic,False,False,True,False,,True,False,2048,"[500,1548]",True,18,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.003227749955840409,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,320,40,320,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08097066602203995,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,commute_over20,logistic,logistic,True,True,True,True,,True,False,2048,"[997,1051]",True,10,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002276457962580025,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,commute_over20,mlp,mlp,False,False,True,False,,True,False,2048,"[997,1051]",True,320,5,40,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.07715274998918176,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,income_binary,logistic,logistic,True,True,True,True,,True,False,2048,"[1652,396]",True,17,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0029586669988930225,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,income_binary,mlp,mlp,False,False,True,False,,True,False,2048,"[1652,396]",True,320,20,160,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08052874996792525,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,civilian_at_work,logistic,logistic,False,False,True,True,,True,False,2048,"[665,1383]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002658874960616231,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,civilian_at_work,mlp,mlp,True,True,True,False,,True,False,2048,"[665,1383]",True,320,20,160,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08051187510136515,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,public_coverage,logistic,logistic,True,True,True,True,,True,False,2048,"[1531,517]",True,16,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002819625078700483,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,transfer,D_init,public_coverage,mlp,mlp,False,False,True,False,,True,False,2048,"[1531,517]",True,320,15,120,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08170458395034075,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_init
0,audit,D_init,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,15,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0032426660181954503,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,SEX,mlp_0,mlp,False,False,False,False,120,True,False,2993,"[1512,1481]",True,1440,20,240,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3310546249849722,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,SEX,mlp_1,mlp,True,True,True,False,120,True,False,2993,"[1512,1481]",True,1440,20,240,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3276288330089301,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,SEX,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.08307433407753706,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,SEX,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.09155679191462696,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
